,Default Radar Template,Name,Team,Competition,Nationality,Date of Birth,Age,Player Id,Weight,Height,Country Id,Country,Team Id,Competition Id,Primary Position,Secondary Position,Most Recent Match,Player SBData Id,90s Played,Appearances,Minutes Played,Starting Appearances,Assists,Key Passes,Open Play Assists,Open Play Key Passes,Open Play xG Assisted,Set Piece Assists,Set Piece Key Passes,Set-Piece xG Assisted,xG Assisted,Dispossessed,Dribble%,Dribbles,Failed Dribbles,Fouls Won,Penalty wins,Successful Dribbles,Turnovers,Over/Underperformance,Scoring Contribution,Shots & Key Passes,xG & xG Assisted,Goal Conversion%,Goals & Penalty Goals,Non-Penalty Goals,Penalty Conversion%,Post Shot xG,Shooting%,Shots,Shot Touch%,xG,xG/Shot,Red Cards,Second Yellow Cards,Yellow Cards,Aggressive Actions,Average Defensive Action Distance,Ball Recoveries,Blocks/Shot,Clearances,Defensive Action Regains,Defensive Actions,Interceptions,Opposition Half Ball Recoveries,PAdj Clearances,PAdj Interceptions,Aerial Win%,Aerial Wins,Dribbled Past,Dribbles Successfully Defended%,Errors,Fouls,PAdj Tackles,PAdj Tackles & Interceptions,Tack/Dribbled Past%,Tackles,Tackles & Interceptions,Average Pressure Distance,Counterpressure Regains,Counterpressures,Counterpressures in Opposing Half,Counterpressures in Opposing Half%,PAdj Pressures,Pressure Regains,Pressures,Pressures in Opposing Half,Pressures in Opposing Half%,Crossing%,Deep Completions,Open Play Final Third Passes,OP Passes Into Box,Passes Inside Box,Passes Into Box,Passes + Touches In Box,Set Piece Passes Into Box,Successful Box Cross%,Successful Crosses,Throughballs,Touches In Box,Carries,Carry%,Carry Length,Deep Progressions,xGBuildup,xGChain,Final Third Pass Backward%,Final Third Pass Forward%,Final Third Pass Sideways%,Pass Backward%,Pass Forward%,Pass Sideways%,Average Pass Distance,Being Pressured Change in Pass%,Left to Right Footedness%,Long Ball%,Long Balls,Open Play Passes,Passes Being Pressured%,Passing%,Pressured Long Balls,Pressured Pass%,Unpressured Long Balls,Being Pressured Change in Pass Length,Pass Length,Pass Length Ratio,Pressured Pass Length,Pressured Pass Length Ratio,Successful Pass Length,Successful Pressured Pass Length,Claims - CCAA%,Goalkeeper Aggressive Distance,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,All Shots Faced,Expected Save%,Goals Conceded,Goals Saved Above Average,Penalties Conceded,Penalties Faced,Positioning Error,PSxG Faced,Save%,Shots Faced,Shots Faced On Target%,Shot Stopping%,xG Faced,Defensive Action OBV,Dribble & Carry OBV,Goalkeeper OBV,OBV,Pass OBV,Shot OBV
0,Full Back,Aarón Martín,Genoa,Serie A,Spain,22/04/1997,27,969319,72.0,180.0,26,Spain,287,1012,Left Wing Back,Left Back,45:00.0,6757,15.9362955,21,1434.2666,16,0.06274984,1.568746,0.06274984,0.8784978,0.06435525,0.0,0.69024825,0.050197914,0.114553146,0.37649903,0.4,0.6274984,0.37649903,1.0039974,0.0,0.25099936,1.0039974,-0.056975096,0.06274984,1.8197454,0.11972493,0.0,0.0,0.0,,0.0,0.0,0.25099936,0.003340757,0.005171782,0.020604763,0.0,0.06274984,0.18824951,8.596728,39.53851,4.8317375,0.0189573459715639,1.1294972,2.6354933,15.4364605,0.69024825,1.7569956,0.86845815,0.4338012,0.4285714285714285,0.5647486,0.5019987,0.3846154,0.0,1.568746,1.2265414,1.6603427,0.7333333333333333,1.3804965,2.0707448,43.049294,0.25099936,1.6314958,1.0667473,0.65384614,9.645062,1.6942457,12.487219,4.580738,0.36683416,0.2769230769230769,0.06274984,7.1534815,0.8784978,0.25099936,1.6942457,1.5059961,0.8157479,0.4814814814814814,1.1294972,0.06274984,0.6274984,26.292183,0.94749403,4.4770503,3.6394908,0.22211017,0.32249832,0.1491228070175438,0.2368421052631578,0.6140350877192983,0.1599297012302284,0.2337434094903339,0.6063268892794376,55.13726,0.045904048,0.9269005847953216,0.4020618556701031,2.447244,28.676678,0.117750439367311,0.7152899824253075,1.5059961,0.7611940298507462,5.710235,-3.1615496,22.003856477921797,0.8882145,18.84230613708496,0.9166857,19.54414566377457,17.272472381591797,0.0,0.0,0.16695958,0.09314587,4.8693876,0.40799162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.005503854,0.04487996,,0.20316336,0.16057968,-0.007800143
1,Full Back,Aaron Wan-Bissaka,Manchester United,Premier League,England,26/11/1997,26,980118,72.0,183.0,618,England,754,1002,Right Back,Left Back,00:00.0,3690,22.226297,22,2000.3667,20,0.0899835,0.539901,0.0899835,0.539901,0.04327314,0.0,0.0,0.0,0.04327314,0.62988454,0.65217394,1.0348102,0.359934,0.40492576,0.0,0.6748763,1.2597691,0.041994773,0.0899835,0.6748763,0.04798873,0.0,0.0,0.0,,0.003101553,0.3333333333333333,0.13497525,0.001746217,0.004715585,0.034936664,0.0,0.0,0.179967,6.2538533,34.794235,7.6036057,0.044568245,2.9694555,2.9694555,13.85746,2.3845627,3.3293896,3.0750816,2.1634994,0.4814814814814814,1.1697855,0.2699505,0.64285713,0.04499175,0.85484326,2.0633447,4.226844,0.8823529411764706,2.0246289,4.4091916,42.1323,0.2699505,2.2945793,1.619703,0.7058824,10.885902,1.8896534,10.977987,4.1392407,0.37704918,0.3,0.22495876,9.538251,0.539901,0.22495876,0.539901,1.619703,0.0,0.083333333,0.13497525,0.0,1.079802,31.224274,0.94668585,4.369701,3.3743813,0.37001455,0.40161905,0.1509433962264151,0.2169811320754717,0.6320754716981132,0.1177072671443193,0.2313203684749232,0.6509723643807575,49.73185,-0.11015112,0.065671642,0.4864864864864865,0.8098515,37.163185,0.1392016376663254,0.8454452405322416,3.1494226,0.7352941176470589,1.4847277,-1.4135078,14.952007500639713,0.9637823,13.53849983215332,1.02887,14.41048019446126,13.92935562133789,0.0,0.0,0.14738996,0.114636645,3.9637737,0.27488306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.09099215,0.064122744,,0.19158296,0.041925874,-0.005457798
2,Centre Back,Abakar Sylla,Strasbourg,Ligue 1,Côte d'Ivoire,25/12/2002,21,14142315,76.0,188.0,363,Côte d'Ivoire,53467,1007,Left Centre Back,,00:00.0,240227,22.050003,22,1984.5002,19,0.0,0.18140586,0.0,0.18140586,0.007154507,0.0,0.0,0.0,0.007154507,0.4535147,0.6923077,0.5895691,0.18140586,0.22675735,0.0,0.40816322,0.6349206,0.002203315,0.09070293,0.68027204,0.08849962,0.1818181818181818,0.09070293,0.09070293,,0.10068668,0.4545454545454545,0.49886614,0.001297017,0.08134511,0.1630599932237104,0.0,0.0,0.18140586,7.2108836,28.724443,9.841269,0.053571429,4.399092,4.8979588,14.331064,1.4512469,1.9954646,3.2511253,1.2978373,0.7213114754098361,1.9954646,0.3628117,0.7419355,0.18140586,1.6780044,1.8556182,3.1534553,0.8709677419354839,2.4489794,3.9002264,33.49036,0.22675735,1.6326529,0.7256234,0.44444445,7.9109273,2.5396824,10.294784,2.131519,0.20704846,0.0,0.045351464,3.0839,0.1360544,0.0,0.1360544,1.1791382,0.0,0.0,0.0,0.0,1.0430838,44.353737,0.97443765,4.788897,2.4489794,0.4364892,0.47836113,0.044117647,0.2794117647058823,0.6764705882352942,0.032984714,0.248592115848753,0.7184231697506034,36.363987,-0.13905412,0.556829035,0.5630252100840336,3.0385485,53.106567,0.098149638,0.8849557522123894,4.988662,0.7459016393442623,4.8072553,-1.826178,20.25288176287208,0.9397507,18.42670440673828,0.9478618,19.032659801136365,17.46596908569336,0.0,0.0,0.08688656,0.06838294,2.6485255,0.21518053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.041875154,0.05627686,,0.12781687,0.02246584,0.007198999
3,Centre Back,Abdelkabir Abqar,Deportivo Alavés,La Liga,Morocco,10/03/1999,25,5873936,80.0,188.0,119,Morocco,575,1011,Right Centre Back,Centre Back,15:00.0,82674,28.247038,27,2542.2334,27,0.0,0.10620583,0.0,0.10620583,0.006668963,0.0,0.0,0.0,0.006668963,0.14160778,0.8,0.1770097,0.035401944,0.8496466,0.0,0.14160778,0.21241166,-0.030266406,0.0,0.46022525,0.030266406,0.0,0.0,0.0,,0.014672856,0.3,0.3540194,0.0007535795026375283,0.023597443,0.066655791,0.0,0.0,0.3540194,5.5227027,26.666443,7.151192,0.1074918566775244,4.956272,4.5668507,11.364023,1.0620583,1.5930874,3.000536,0.72117114,0.573170732,1.6638913,0.46022525,0.64285713,0.0,1.5930874,0.7211567,1.4423277,0.7450980392156863,1.3452739,2.407332,33.64095,0.1770097,1.4514796,0.77884275,0.5365854,5.194029,2.1949203,8.496467,1.840901,0.21666667,0.0,0.035401944,2.0533125,0.07080389,0.035401944,0.07080389,1.0974602,0.0,0.0,0.0,0.07080389,1.0266563,18.692226,0.9810606,5.3522253,2.3011262,0.19781277,0.21080485,0.0,0.5344827586206896,0.4655172413793103,0.0258152173913043,0.3315217391304347,0.6426630434782609,35.61371,-0.079508856,0.07480315,0.4866071428571428,3.8588116,24.25033,0.1467391304347826,0.7554347826086957,6.159938,0.6759259259259259,6.7263694,-1.6764094,29.444776452105977,0.86278343,27.768367767333984,0.88953805,25.404465490107917,24.70101928710937,0.0,0.0,0.13179348,0.095108695,1.8444409,0.13786715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.020925663,0.033385627,,0.06578095,0.027665414,-0.016195744
4,Attacking Midfielder / Winger,Abde Ezzalzouli,Real Betis,La Liga,Morocco,17/12/2001,22,14130608,72.0,177.0,119,Morocco,800,1011,Left Wing,Left Midfielder,00:00.0,149714,11.065186,26,995.8667,6,0.0,0.36149418,0.0,0.36149418,0.03697784,0.0,0.0,0.0,0.03697784,3.524568,0.4473684,3.4341946,1.8978444,1.7170973,0.0,1.5363503,4.4283037,-0.13751824,0.090373546,3.343821,0.22789177,0.0303030303030303,0.090373546,0.090373546,0.0,0.12379772,0.2424242424242424,2.9823267,0.04377565,0.19091396,0.064015099,0.0,0.0,0.090373546,10.573705,48.852665,6.506895,0.0,0.5422412,3.976436,20.605167,0.6326148,3.4341946,0.7428704,0.41806,0.4313725490196078,1.988218,0.8133619,0.33333334,0.0,1.174856,1.4480083,1.8660682,0.6666666666666666,1.6267238,2.2593384,49.16844,0.36149418,2.8919535,2.349712,0.8125,16.722282,3.0727005,17.803587,8.766233,0.49238577,0.1363636363636363,0.2711206,9.850716,0.8133619,0.36149418,0.9037354,5.0609183,0.090373546,0.1,0.2711206,0.090373546,4.2475567,34.88419,0.7953368,7.9414554,3.4341946,0.34245232,0.49523202,0.1651376146788991,0.1376146788990825,0.6972477064220184,0.1642651296829971,0.1556195965417867,0.6801152737752162,60.97567,-0.055337545,0.055813953,0.5,0.8133619,30.455883,0.270893371757925,0.6829971181556196,0.6326148,0.6276595744680851,1.5363503,-1.3821939,14.127689064751442,0.9921334,12.745494842529297,0.92168754,14.016552116297468,11.747364044189451,0.0,0.0,0.2074928,0.12103746,3.6420536,0.26084146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.024153015,0.15118404,,0.15241979,0.079585135,-0.10250239
5,Striker,Abdón Prats,Mallorca,La Liga,Spain,07/12/1992,31,294800,81.0,181.0,26,Spain,631,1011,Right Centre Forward,Centre Forward,00:00.0,24067,16.051853,34,1444.6667,11,0.0,0.74757725,0.0,0.68527913,0.082669,0.0,0.062298104,0.005138345,0.08780734,1.2459621,0.6111111,1.1213659,0.43608674,1.4951545,0.0,0.68527913,2.8034146,0.110015005,0.37378863,2.8657126,0.26377362,0.1764705882352941,0.37378863,0.37378863,,0.20951658,0.4117647058823529,2.1181357,0.04375,0.17596628,0.083076028,0.0,0.0,0.18689431,4.4854636,62.414482,4.4854636,0.021390374,0.56068295,1.8066449,13.45639,0.062298104,2.8034146,0.5964925,0.06901733,0.4180327868852459,3.1772034,0.062298104,0.6666667,0.0,1.3705583,0.17793982,0.24695717,0.8,0.24919242,0.31149054,66.66493,0.24919242,2.1181357,1.9935393,0.9411765,10.248794,1.4951545,11.836639,9.656206,0.81578946,0.2857142857142857,0.24919242,3.4263957,0.56068295,0.12459621,0.6229811,4.672358,0.062298104,0.1,0.12459621,0.062298104,4.111675,13.394093,0.74418604,3.747979,0.99676967,0.391598,0.49453974,0.072727273,0.2,0.7272727272727273,0.125,0.1666666666666666,0.7083333333333334,57.932865,-0.023484848,0.6991150442477876,0.5263157894736842,0.6229811,14.203968,0.3666666666666666,0.5916666666666667,0.74757725,0.5681818181818182,0.99676967,-2.8378549,16.542906697591146,1.0343845,13.70505142211914,1.0740117,17.111727002640844,14.719385147094728,0.0,0.0,0.2125,0.09583333,2.5978308,0.2034146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.007163602,-0.004032383,,-0.00665041,-0.03331063,0.023529
6,Attacking Midfielder / Winger,Abdoulaye Doucouré,Everton,Premier League,Mali,01/01/1993,31,19436,75.0,184.0,394,Mali,88,1002,Centre Attacking Midfielder,Right Centre Midfielder,00:00.0,3292,32.381294,32,2914.3164,32,0.061764054,0.98822486,0.061764054,0.98822486,0.088437356,0.0,0.0,0.0,0.088437356,1.2970452,0.4375,1.4823374,0.83381474,0.3397023,0.0,0.6485226,2.6249723,-0.086725354,0.27793825,2.43968,0.36466357,0.1489361702127659,0.21617419,0.21617419,,0.3492656,0.4468085106382978,1.4514552,0.020576132,0.27622628,0.1903098694821621,0.0,0.0,0.21617419,17.479227,53.392487,6.917574,0.0154241645244215,0.7102867,5.0646524,33.19818,0.6485226,3.8911357,0.36787578,0.3865223,0.2876712328767123,0.6485226,0.6485226,0.375,0.0,1.9455678,0.7695037,1.156026,0.6911764705882353,1.4514552,2.099978,54.852642,0.4632304,4.6014223,3.7058432,0.80536914,18.095713,4.199956,29.801159,17.3557,0.5823834,0.1666666666666666,0.5249945,8.646968,0.58675855,0.30882028,0.58675855,4.230838,0.0,0.1052631578947368,0.12352811,0.061764054,3.6440794,25.261497,0.8496333,4.607481,2.161742,0.48607072,0.6532234,0.125,0.1678571428571428,0.7071428571428572,0.1621315192743764,0.1519274376417233,0.6859410430839002,57.183357,-0.059308782,0.1345291479820627,0.5625,0.83381474,26.682072,0.2301587301587301,0.7834467120181405,0.95734286,0.7241379310344828,1.2352811,-2.7405512,16.189110995960885,0.9809,13.448559761047363,1.025181,15.879898358357451,13.787208557128906,0.0,0.0,0.16893424,0.09637188,3.903489,0.2837262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.010113507,0.052107688,,0.13907525,-0.050093014,0.12694703
7,Midfielder,Abdoulaye Touré,Le Havre,Ligue 1,Guinea,03/03/1994,30,17913,84.0,188.0,548,Guinea,134,1007,Left Defensive Midfielder,Right Defensive Midfielder,00:00.0,3138,27.469997,30,2472.2998,27,0.0,0.43684024,0.0,0.43684024,0.02751415,0.0,0.0,0.0,0.02751415,0.9828905,0.64102566,1.4197308,0.5096469,1.4197308,0.0,0.91008383,1.5653441,-0.068797894,0.0,1.5653441,0.068797894,0.0,0.0728067,0.0,1.0,0.028534325,0.2580645161290322,1.1285039,0.01,0.041283738,0.0365827160496865,0.0,0.0,0.1456134,14.197308,38.35313,11.030216,0.0298507462686567,1.5653441,5.9337463,24.20823,1.0556972,4.878049,0.94147605,0.7440076,0.5568181818181818,1.7837642,1.0921005,0.49056605,0.0,1.2013106,1.3415948,2.0856025,0.6470588235294118,2.0021844,3.0578816,40.433697,0.61885697,3.6767385,2.1477978,0.5841584,14.79271,4.368402,21.041138,5.97015,0.28373703,0.3333333333333333,0.21842012,7.6083,0.25482345,0.03640335,0.25482345,0.72806704,0.0,0.0,0.03640335,0.03640335,0.4732436,36.294144,0.93681043,4.873393,4.9144526,0.3587534,0.38403115,0.0239234449760765,0.2679425837320574,0.7081339712918661,0.095736122,0.2027353177795655,0.7015285599356396,46.774033,-0.048692007,0.2383838383838384,0.7272727272727273,2.9122682,44.703316,0.2164119066773934,0.8479485116653258,2.1477978,0.7992565055762082,3.421915,-2.167616,19.155354359412712,0.9824692,16.98773765563965,1.0197444,18.81954533325427,17.323150634765625,0.0,0.0,0.13354787,0.09493162,4.0735354,0.3363391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.037345596,0.08932542,,0.12692796,0.021650663,-0.02139371
8,Midfielder,Abdoulrahmane Harroui,Frosinone,Serie A,Morocco,13/01/1998,26,5225971,76.0,182.0,119,Morocco,33927,1012,Left Centre Midfielder,Left Attacking Midfielder,45:00.0,21571,12.077223,18,1086.9501,13,0.24840148,1.2420074,0.24840148,1.2420074,0.11402063,0.0,0.0,0.0,0.11402063,1.3248079,0.42424244,2.7324164,1.5732093,1.5732093,0.0,1.1592069,4.3056254,0.12223955,0.41400245,3.9744236,0.2917629,0.060606061,0.24840148,0.16560099,1.0,0.16855612,0.3333333333333333,2.7324164,0.0314070351758793,0.17774227,0.065049489,0.0,0.0,0.16560099,9.770458,49.684372,7.369244,0.01910828,0.66240394,3.39482,21.94213,0.57960343,4.1400247,0.56882596,0.43384275,0.4642857142857143,1.0764064,0.33120197,0.75,0.0,1.8216108,1.9653296,2.3991725,0.875,2.3184137,2.8980172,51.10142,0.9108054,4.3056254,2.7324164,0.63461536,16.507729,2.5668151,17.802105,8.52845,0.47906977,0.5833333333333334,0.49680296,10.764064,0.9936059,0.41400245,0.9936059,3.9744236,0.0,0.3333333333333333,0.57960343,0.08280049,2.9808176,34.1138,0.842233,6.901755,4.9680295,0.31197652,0.46968284,0.092307692,0.1461538461538461,0.7615384615384615,0.1578947368421052,0.1684210526315789,0.6736842105263158,59.18951,-0.04484649,0.1700680272108843,0.4705882352941176,0.66240394,29.973778,0.2526315789473684,0.8052631578947368,0.9108054,0.7604166666666666,1.1592069,-0.73364496,15.72739900287829,0.9628984,14.993754386901855,1.0070205,15.143886591094772,15.099017143249512,0.0,0.0,0.15263158,0.1,4.7775884,0.32415736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.044182174,0.12387228,,0.21193628,0.061384033,-0.017502196
9,Attacking Midfielder / Winger,Ablie Jallow,Metz,Ligue 1,Gambia,14/11/1998,25,3247635,62.0,166.0,2976,Gambia,506,1007,Centre Attacking Midfielder,Right Wing,00:00.0,4471,11.045742,17,994.11676,10,0.18106525,1.0863914,0.18106525,0.6337284,0.05892114,0.0,0.45266312,0.018878562,0.0777997,1.6295873,0.5,2.3538482,1.1769241,1.72012,0.0,1.1769241,3.621305,0.16988698,0.3621305,2.625446,0.19224352,0.1176470588235294,0.27159786,0.18106525,1.0,0.21366747,0.3529411764705882,1.5390545,0.0226904376012965,0.11444383,0.074359824,0.0,0.0,0.09053262,7.6047406,49.69943,5.794088,0.0,0.18106525,1.9917177,14.394688,0.90532625,2.3538482,0.05325692,0.29491904,0.2692307692307692,0.6337284,0.18106525,0.8333333,0.0,0.81479365,0.3176804,0.6125994,0.8181818181818182,0.81479365,1.72012,49.971165,0.18106525,2.7159786,1.9917177,0.73333335,4.5866885,1.2674568,12.7651005,6.156218,0.4822695,0.2857142857142857,0.27159786,7.514208,0.90532625,0.0,1.448522,2.625446,0.5431957,0.125,0.18106525,0.3621305,1.72012,29.513636,0.8435583,7.007902,4.1645007,0.3108692,0.4459429,0.1204819277108433,0.144578313253012,0.7349397590361446,0.1461038961038961,0.1071428571428571,0.7467532467532467,55.273853,0.014082303,0.9055793991416308,0.6857142857142857,2.172783,25.982864,0.2694805194805195,0.8051948051948052,0.724261,0.8192771084337349,2.625446,-3.0072768,19.17817668171672,0.9639911,16.170900344848633,1.0482422,18.487592143397176,16.951021194458008,0.0,0.0,0.12662338,0.064935066,4.988348,0.41616312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.022071892,0.07513693,,0.20893918,-0.000649,0.11237975
